Industry Financial Profile
"Release Date",Dec-2022

Segment,Industry
Specialized Freight (Except Used Goods) Trucking, Long & Distance
[484230] Sector,Transportation-Warehousing
Market,State of California
Sales Class,Large > $25m

Firms Analyzed,2017,2018,2019,2020,2021,2022q2
Current Liabilities: Inventory ,16.47,15.24,19.46,18.84,24.88,16.22
Net Working Capital: Business Revenue,0.06,0.06,0.07,0.06,0.05,0.05
Cost of Sales: Accounts Payable,10.98,11.76,10.83,10.78,9.23,16.91
Cost of Sales: Inventory,59.25,57.30,65.64,59.78,74.10,75.10



Financial Ratios: Profitability
,2017,2018,2019,2020,2021,2022q2
EBITDA: Business Revenue (%),6.16,6.75,6.07,7.08,9.21,28.05
Pre-Tax Return On Assets (%),7.48,9.94,7.00,7.46,16.99,36.06
Pre-Tax Return on Net Worth (%),18.65,23.13,16.29,18.62,44.13,74.10
Pre-Tax Return on Business Revenue (%),3.18,4.06,3.20,3.09,7.13,12.26
Discretionary Owner Earnings,9.48,10.28,9.37,10.20,13.64,19.54
After-Tax Return On Assets (%),4.94,7.86,5.54,5.01,11.41,55.70
After-Tax Return On Net Worth (%),12.35,18.33,12.93,12.87,30.53,115.97
After-Tax Return On Business Revenue (%),2.10,3.22,2.52,2.05,4.71,2.54
Profit/Employee,6779,9135,7136,6717,17175,33359
Owner Earnings/Employee,20184,23128,20916,22175,32839,53150


Financial Ratios: Efficiency
,2017,2018,2019,2020,2021,2022q2
Assets: Business Revenue,0.43,0.41,0.46,0.41,0.41,0.34
Days Inventory,6.16,6.37,5.56,6.11,4.93,4.86
Days Receivables,40.65,40.71,45.39,44.90,43.98,27.89
Current Asset Turnover,5.40,5.40,4.87,5.18,5.28,7.56
Fixed Asset Turnover (Business Revenue/Fixed Assets),5.00,5.35,4.73,5.90,5.64,6.00
Gross Margin: Business Revenue,55.20,54.12,54.60,58.40,59.88,61.80
Sales Per Employee,212858,224948,223231,217345,240838,272010
Inventory Turnover,132.25,124.89,144.58,143.68,184.70,196.62
Receivables Turnover,8.98,8.97,8.04,8.13,8.30,13.09
Total Asset Turnover,2.35,2.45,2.19,2.41,2.38,2.94
Working Capital Turnover,16.53,15.83,14.17,16.13,18.32,20.08
Days Working Capital,22.08,23.06,25.75,22.63,19.92,18.18
Cash Turnover,25.10,24.93,21.09,25.41,27.63,33.83
Efficiency Index,3.83,3.97,3.87,3.73,3.98,4.74


Financial Ratios: Debt-Risk
,2017,2018,2019,2020,2021,2022q2
Interest Coverage,7.98,8.99,7.43,8.21,6.17,12.87
Current Liabilities: Net Worth ,0.73,0.70,0.69,0.79,0.83,0.50
Long-Term Liabilities: Net Worth ,0.76,0.63,0.64,0.71,0.76,0.56
Loans-Notes Payable/Net Worth ,0.27,0.27,0.26,0.29,0.30,0.14
Modified Z-Score,2.60,2.99,2.65,2.71,3.23,5.54
Total Liabilities: Net Worth,1.49,1.33,1.33,1.50,1.60,1.06
Fixed Assets: Net Worth,1.17,1.06,1.08,1.02,1.10,1.01



Sources & Uses of Funds
,17-18,18-19,19-,-21
Cash & cash equivalents,426346,-537294,180675,-674833
Worksheet:
Accounts Receivable,-814209,493899,-971430,3232561
Inventory,41473,22080,22542,71180
Other Curr Assets,-85448,217979,-404798,549759
Net Fixed Assets,-1512362,2668025,-1968129,2331033
Other Non-Curr Assets,-229523,-403873,-538848,1087097
Accounts Payable,206169,-300379,617048,-1388017
Loans/Notes Payable,267431,-284865,443199,-1597654
Other current Liabilities,344557,-45291,324415,-759580
Long-term debt,902246,-824597,1399579,-2691851
Net Worth,1306011,-2080272,1257098,-1509361
Total Sources & Uses,426346,-537294,180675,-674833
Cash: Beginning Period,1930082,2356427,1819134,1999809
Cash: End Period,2356427,1819134,1999809,1324976
Change in Cash & Cash Equivalents	,426346,-537294,180675,-674833



Valuation Multiples
Sales Group: < $2.5m:
,Sales Multiples,Earnings Multiples
Q1,0.35,1.98
Median,0.54,2.78
Q3,0.62,6.51

Sales Group: $2.5m - $24.9m:
,Sales Multiples,Earnings Multiples
Q1,0.63,2.19
Median,0.98,3.75
Q3,1.38,4.88

Sales Group: > $25m:
,Sales Multiples,Earnings Multiples
Q1,0.63,2.19
Median,0.98,3.75
Q3,1.38,4.88

Sales Group: All:
,Sales Multiples,Earnings Multiples
Q1,0.48,2.1
Median,0.91,4.83
Q3,1.33,6.8
