,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,clean_city,land_value,property_value
47,06,46870,02411079,0646870,Menlo Park,Menlo Park city,menlo park,1179909.8259388364,1618921.7707030699
48,06,68252,02411800,0668252,San Mateo,San Mateo city,san mateo,977896.7570245446,1507710.7505291344
49,06,58380,02412499,0658380,Portola Valley,Portola Valley town,portola valley,1615900.0,2029700.0000000002
50,06,40886,02411637,0640886,Lawndale,Lawndale city,lawndale,440400.0,669000.0
51,06,16322,02410231,0616322,Corning,Corning city,corning,28719.415606102284,223472.80164533126
52,06,78106,02412042,0678106,Tehama,Tehama city,tehama,28700.0,208500.0
53,06,81666,02412142,0681666,Vallejo,Vallejo city,vallejo,123124.65849800417,427056.04042668233
54,06,62000,02410965,0662000,Riverside,Riverside city,riverside,131613.79576726965,389972.0798240335
55,06,49270,02411159,0649270,Moreno Valley,Moreno Valley city,moreno valley,66231.36093271249,301789.55322543066
56,06,16350,02410232,0616350,Corona,Corona city,corona,179540.09500584358,445946.27375746693
57,06,39486,02411601,0639486,Lake Elsinore,Lake Elsinore city,lake elsinore,83461.23527007949,315267.78342488466
58,06,04758,02409805,0604758,Beaumont,Beaumont city,beaumont,62438.67737087366,291886.3509280799
59,06,33182,02410738,0633182,Hemet,Hemet city,hemet,48549.293780450476,250315.82415865222
60,06,51560,02411265,0651560,Norco,Norco city,norco,160277.736974912,425203.5430058137
61,06,12048,02409412,0612048,Cathedral City,Cathedral City city,cathedral city,100049.02606738757,354744.49244862614
62,06,67112,02411788,0667112,San Jacinto,San Jacinto city,san jacinto,44841.552633243045,244342.76691166114
63,06,55184,02411356,0655184,Palm Desert,Palm Desert city,palm desert,179818.2014033987,468617.24154761364
64,06,77000,02412009,0677000,Sunnyvale,Sunnyvale city,sunnyvale,925533.9546744389,1361663.4126041012
65,06,49670,02411186,0649670,Mountain View,Mountain View city,mountain view,1446217.0642662111,1876426.8089051577
66,06,43280,02410876,0643280,Los Altos,Los Altos city,los altos,2041064.305478523,2366166.2280403473
67,06,69084,02411816,0669084,Santa Clara,Santa Clara city,santa clara,814813.3632575058,1270396.8338457635
68,06,49278,02411162,0649278,Morgan Hill,Morgan Hill city,morgan hill,382406.47102332296,770526.5172754208
69,06,58072,02411454,0658072,Pomona,Pomona city,pomona,217703.4187639286,494295.91258793994
70,06,36490,02410102,0636490,Industry,Industry city,industry,333541.71357621526,615934.519179333
71,06,19192,02410334,0619192,Diamond Bar,Diamond Bar city,diamond bar,457309.2785413316,708595.9497554668
72,06,19990,02410361,0619990,Duarte,Duarte city,duarte,371201.6401447377,669118.2973614713
73,06,02462,02409722,0602462,Arcadia,Arcadia city,arcadia,947397.5628033731,1137242.864236434
74,06,72996,02411934,0672996,South El Monte,South El Monte city,south el monte,318644.8878340246,565170.3735787914
75,06,48914,02411146,0648914,Monterey Park,Monterey Park city,monterey park,472085.60013927444,738458.9965751685
76,06,84410,02412221,0684410,West Hollywood,West Hollywood city,west hollywood,1856165.7692453868,2020410.2939346372
77,06,84200,02412219,0684200,West Covina,West Covina city,west covina,326623.6259989279,598734.6809634749
78,06,40830,02411584,0640830,La Verne,La Verne city,la verne,336406.2098279591,636075.4611276872
79,06,36826,02410119,0636826,Irwindale,Irwindale city,irwindale,229715.1216094751,511624.51164116524
80,06,68224,02411799,0668224,San Marino,San Marino city,san marino,1444548.2453488703,1776910.6857103286
81,06,08954,02409939,0608954,Burbank,Burbank city,burbank,585259.790571967,925632.2111844242
82,06,03386,02409768,0603386,Azusa,Azusa city,azusa,289737.19298624544,572961.5562214745
83,06,84438,02412235,0684438,Westlake Village,Westlake Village city,westlake village,575774.510576127,880399.0605173225
84,06,80812,02412114,0680812,Turlock,Turlock city,turlock,83154.09898759551,317742.18971042265
85,06,43000,02410866,0643000,Long Beach,Long Beach city,long beach,609579.1983548121,858026.2677256273
86,06,71876,02411899,0671876,Signal Hill,Signal Hill city,signal hill,435459.3047275966,703943.6329608475
87,06,59514,02411516,0659514,Rancho Palos Verdes,Rancho Palos Verdes city,rancho palos verdes,1027812.4302019844,1171843.4504989076
88,06,45246,02410913,0645246,Malibu,Malibu city,malibu,1902825.8463129182,2449181.4722189726
89,06,40130,02411620,0640130,Lancaster,Lancaster city,lancaster,46477.50977227629,250729.25779809797
90,06,00884,02409681,0600884,Alhambra,Alhambra city,alhambra,475758.84510694613,762730.9489703866
91,06,62896,02410998,0662896,Rosemead,Rosemead city,rosemead,433760.6637480873,690573.3088053777
92,06,48816,02411144,0648816,Montebello,Montebello city,montebello,334885.26710898697,618625.4708930152
93,06,28168,02410570,0628168,Gardena,Gardena city,gardena,363061.1337028346,635363.3875571511
94,06,39892,02411613,0639892,Lakewood,Lakewood city,lakewood,417331.30273797235,699583.4491238372
95,06,15044,02410213,0615044,Compton,Compton city,compton,221000.95041514508,490138.52614865964
96,06,67042,02411787,0667042,San Gabriel,San Gabriel city,san gabriel,620524.0724736989,849942.2010585694
97,06,52526,02411281,0652526,Norwalk,Norwalk city,norwalk,306665.4953281843,588414.7864852054
98,06,19766,02410352,0619766,Downey,Downey city,downey,361169.78437292343,638001.779893452
99,06,85292,02412260,0685292,Whittier,Whittier city,whittier,359109.6965030992,640963.1059056886
100,06,56924,02411417,0656924,Pico Rivera,Pico Rivera city,pico rivera,290897.86348225723,567294.0802852071
101,06,04870,02409816,0604870,Bell,Bell city,bell,241600.0,531400.0
102,06,36056,02410079,0636056,Huntington Park,Huntington Park city,huntington park,,
103,06,73080,02411935,0673080,South Gate,South Gate city,south gate,260557.2729593527,559306.0505706285
104,06,17568,02410276,0617568,Culver City,Culver City city,culver city,1028678.7676605312,1328184.1145500196
105,06,13014,02409447,0613014,Chico,Chico city,chico,94616.72263916208,348132.8260069754
106,06,45022,02410906,0645022,Madera,Madera city,madera,44400.40654464573,222713.10635642443
107,06,83612,02412192,0683612,Waterford,Waterford city,waterford,61963.58002330109,267996.22567401384
108,06,48354,02411130,0648354,Modesto,Modesto city,modesto,77636.47169200143,300883.8715089582
109,06,33000,02410724,0633000,Hayward,Hayward city,hayward,344061.6824348759,729729.6568655845
110,06,41992,02410848,0641992,Livermore,Livermore city,livermore,357397.7642049377,767932.8253573728
111,06,57792,02411441,0657792,Pleasanton,Pleasanton city,pleasanton,594339.7054842458,1009999.9987436554
112,06,02476,02409723,0602476,Arcata,Arcata city,arcata,,
113,06,23042,02410463,0623042,Eureka,Eureka city,eureka,,
114,06,60018,02411535,0660018,Redondo Beach,Redondo Beach city,redondo beach,1000692.4246042508,1216023.3929496708
115,06,80000,02412087,0680000,Torrance,Torrance city,torrance,713532.7428205097,955552.5579254702
116,06,82954,02412160,0682954,Visalia,Visalia city,visalia,65054.37082341177,250257.41351648467
117,06,46842,02497157,0646842,Menifee,Menifee city,menifee,71386.28959214574,299383.9543992617
118,06,05108,02409826,0605108,Belmont,Belmont city,belmont,1058511.993051169,1603683.8529393722
119,06,09066,02409945,0609066,Burlingame,Burlingame city,burlingame,1481898.2425587017,1961970.311647418
120,06,17918,02410291,0617918,Daly City,Daly City city,daly city,597643.8878197977,1139824.4296539263
121,06,65070,02411780,0665070,San Carlos,San Carlos city,san carlos,1178686.4881023301,1668871.3868952473
122,06,73262,02411942,0673262,South San Francisco,South San Francisco city,south san francisco,595604.4731594274,1095559.1849099402
123,06,86440,02413509,0686440,Woodside,Woodside town,woodside,1542634.8692047612,1961406.9373056865
124,06,85446,02497148,0685446,Wildomar,Wildomar city,wildomar,81314.8954273132,319665.3024539955
125,06,08100,02409897,0608100,Brea,Brea city,brea,477785.3643995381,744770.0076311389
126,06,36770,02410116,0636770,Irvine,Irvine city,irvine,1030098.6781703088,1199122.162249048
127,06,39290,02411571,0639290,La Habra,La Habra city,la habra,388429.09937276243,684317.9368628376
128,06,73962,02411969,0673962,Stanton,Stanton city,stanton,353900.91671379464,659920.8487997728
129,06,53476,02411308,0653476,Ojai,Ojai city,ojai,404925.7839222306,772530.8397860487
130,06,72016,02411904,0672016,Simi Valley,Simi Valley city,simi valley,293602.8688100219,599072.6257926024
131,06,78582,02412065,0678582,Thousand Oaks,Thousand Oaks city,thousand oaks,473198.24772941147,772625.2509261132
132,06,62364,02410980,0662364,Rocklin,Rocklin city,rocklin,144376.89748300487,427512.9827614346
133,06,03204,02409754,0603204,Auburn,Auburn city,auburn,94514.60166086345,365941.2343449063
134,06,62938,02411000,0662938,Roseville,Roseville city,roseville,138542.27275924908,424200.98245482636
135,06,72674,02411930,0672674,Sonora,Sonora city,sonora,44525.99660138689,302575.18648907146
136,06,13294,02409459,0613294,Chowchilla,Chowchilla city,chowchilla,36541.27550866892,206488.3673448919
137,06,09864,02409961,0609864,Calimesa,Calimesa city,calimesa,58066.434605405564,288229.2950179848
138,06,10928,02409979,0610928,Canyon Lake,Canyon Lake city,canyon lake,101639.44266265094,350738.7553900057
139,06,14260,02409493,0614260,Coachella,Coachella city,coachella,38545.72874073433,197060.48996768426
140,06,36434,02410100,0636434,Indian Wells,Indian Wells city,indian wells,256172.60055439477,631121.7415854092
141,06,40354,02411582,0640354,La Quinta,La Quinta city,la quinta,223845.7855604309,574313.6032601964
142,06,50874,02411225,0650874,Nevada City,Nevada City city,nevada city,107120.14814076699,432658.30710727675
143,06,44574,02410901,0644574,Lynwood,Lynwood city,lynwood,221240.23408390678,508745.0994085572
144,06,75630,02411995,0675630,Suisun City,Suisun City city,suisun city,91542.33813797672,378428.21772816015
145,06,49138,02411157,0649138,Moorpark,Moorpark city,moorpark,317275.3747686165,606439.9146878892
146,06,62546,02410985,0662546,Rohnert Park,Rohnert Park city,rohnert park,203912.95198827682,577559.9535290404
147,06,70770,02411857,0670770,Sebastopol,Sebastopol city,sebastopol,263848.85626625246,696811.3016824727
148,06,72646,02411929,0672646,Sonoma,Sonoma city,sonoma,416681.4621223267,925865.9998887344
149,06,10046,02409966,0610046,Camarillo,Camarillo city,camarillo,356200.4854956978,636950.2122097377
150,06,44112,02412917,0644112,Los Gatos,Los Gatos town,los gatos,1312246.622653901,1700045.1216333208
151,06,29504,02410591,0629504,Gilroy,Gilroy city,gilroy,278015.7139264926,663083.3602017188
152,06,70280,02411832,0670280,Saratoga,Saratoga city,saratoga,1528312.1266943365,1858858.0023090432
153,06,20242,02410372,0620242,Dunsmuir,Dunsmuir city,dunsmuir,,
154,06,22972,02410458,0622972,Etna,Etna city,etna,,
155,06,25128,02410527,0625128,Fort Jones,Fort Jones city,fort jones,,
156,06,48690,02411140,0648690,Montague,Montague city,montague,,
157,06,83850,02412201,0683850,Weed,Weed city,weed,11400.0,194400.0
158,06,68000,02411790,0668000,San Jose,San Jose city,san jose,622367.5200413154,1019969.4627186332
159,06,58296,02411462,0658296,Port Hueneme,Port Hueneme city,port hueneme,239011.29170477865,544883.9228910591
160,06,46170,02411046,0646170,Marysville,Marysville city,marysville,33670.9902767562,218812.206370189
161,06,80686,02412108,0680686,Tulelake,Tulelake city,tulelake,,
162,06,57876,02411449,0657876,Point Arena,Point Arena city,point arena,,
163,06,85600,02412270,0685600,Willits,Willits city,willits,,
164,06,16462,02413247,0616462,Corte Madera,Corte Madera town,corte madera,791045.4605252077,1392144.5472478676
165,06,62980,02412578,0662980,Ross,Ross town,ross,1077998.8701285936,1925996.474446013
166,06,64434,02413251,0664434,San Anselmo,San Anselmo town,san anselmo,653212.8021126328,1255676.9894317992
167,06,47710,02411109,0647710,Mill Valley,Mill Valley city,mill valley,972761.654285691,1612668.1653285502
168,06,78666,02413389,0678666,Tiburon,Tiburon town,tiburon,1412079.1011180053,1900846.9633124422
169,06,03092,02411651,0603092,Atherton,Atherton town,atherton,2246979.929991027,2852931.894554915
170,06,08310,02409912,0608310,Brisbane,Brisbane city,brisbane,645500.0,1149200.0
171,06,14736,02413228,0614736,Colma,Colma town,colma,525700.0,1076800.0
172,06,20956,02410389,0620956,East Palo Alto,East Palo Alto city,east palo alto,545941.505067329,1027549.011573786
173,06,25338,02410534,0625338,Foster City,Foster City city,foster city,1100892.1243908394,1592157.7554832813
174,06,31708,02410685,0631708,Half Moon Bay,Half Moon Bay city,half moon bay,615176.2829474885,1079401.599463928
175,06,33798,02412752,0633798,Hillsborough,Hillsborough town,hillsborough,1956526.6887594166,2241437.117120518
176,06,47486,02411110,0647486,Millbrae,Millbrae city,millbrae,1090894.1085802976,1617634.9928947433
177,06,54806,02411351,0654806,Pacifica,Pacifica city,pacifica,585150.1350120493,1100216.080256587
178,06,05164,02409829,0605164,Belvedere,Belvedere city,belvedere,1902580.1699465837,2439852.2700882843
179,06,12524,02409430,0612524,Ceres,Ceres city,ceres,68179.73119810126,279864.5650136888
180,06,41936,02410846,0641936,Live Oak,Live Oak city,live oak,37314.20618756663,222603.94291384084
181,06,67000,02411786,0667000,San Francisco,San Francisco city,san francisco,1241704.7250019638,1680150.8373818765
182,06,52694,02411291,0652694,Oakdale,Oakdale city,oakdale,90004.42184547226,319748.6426741692
183,06,19612,02410348,0619612,Dos Palos,Dos Palos city,dos palos,36300.0,203599.99999999997
184,06,31568,02410677,0631568,Gustine,Gustine city,gustine,50900.0,252500.0
185,06,54848,02411350,0654848,Pacific Grove,Pacific Grove city,pacific grove,808217.4464018693,1128742.959923684
186,06,42006,02410850,0642006,Livingston,Livingston city,livingston,51000.0,236100.0
187,06,68014,02411792,0668014,San Juan Bautista,San Juan Bautista city,san juan bautista,173400.0,518800.0
188,06,39304,02411572,0639304,La Habra Heights,La Habra Heights city,la habra heights,373113.7120357042,637704.1996267502
189,06,23168,02412609,0623168,Fairfax,Fairfax town,fairfax,435251.72448954795,1044809.926524661
190,06,40438,02411627,0640438,Larkspur,Larkspur city,larkspur,942444.5581708224,1563169.6391482279
191,06,52582,02411283,0652582,Novato,Novato city,novato,333303.81186983146,820232.1147614011
192,06,54386,02411337,0654386,Oroville,Oroville city,oroville,31376.09820458512,213572.73717694514
193,06,11040,02409981,0611040,Capitola,Capitola city,capitola,694905.7363246861,1132717.7417250748
194,06,70588,02411844,0670588,Scotts Valley,Scotts Valley city,scotts valley,437252.9763906046,837061.9253002494
195,06,17022,02410262,0617022,Crescent City,Crescent City city,crescent city,,
196,06,56112,02411383,0656112,Patterson,Patterson city,patterson,70634.04598115,273610.0007690193
197,06,61068,02410962,0661068,Riverbank,Riverbank city,riverbank,83503.35668860102,311770.5999541188
198,06,85012,02412249,0685012,Wheatland,Wheatland city,wheatland,54500.0,267100.0
199,06,07162,02409868,0607162,Blue Lake,Blue Lake city,blue lake,,
200,06,25296,02410532,0625296,Fortuna,Fortuna city,fortuna,,
201,06,60900,02410951,0660900,Rio Dell,Rio Dell city,rio dell,,
202,06,80448,02412093,0680448,Trinidad,Trinidad city,trinidad,,
203,06,23910,02410497,0623910,Ferndale,Ferndale city,ferndale,,
204,06,03820,02409785,0603820,Banning,Banning city,banning,46804.66229351917,252387.53751283998
205,06,56938,02411418,0656938,Piedmont,Piedmont city,piedmont,1141710.1194231173,1715854.7084230667
206,06,44028,02410878,0644028,Los Banos,Los Banos city,los banos,58826.60887975642,285211.9501751093
207,06,80588,02413403,0680588,Truckee,Truckee town,truckee,155830.74083508475,546460.4136804385
208,06,58240,02411470,0658240,Porterville,Porterville city,porterville,48476.69803482668,214023.92577816403
209,06,80644,02412107,0680644,Tulare,Tulare city,tulare,56480.42715294026,230881.4711477546
210,06,03162,02409752,0603162,Atwater,Atwater city,atwater,47457.69614007263,242755.59412031848
211,06,46898,02411080,0646898,Merced,Merced city,merced,51642.981824494884,254214.20318467118
212,06,59500,02411515,0659500,Rancho Mirage,Rancho Mirage city,rancho mirage,217092.4578915464,545290.5160787237
213,06,78120,02412044,0678120,Temecula,Temecula city,temecula,132108.1331366627,391064.1888557658
214,06,18996,02410328,0618996,Desert Hot Springs,Desert Hot Springs city,desert hot springs,26793.566249146865,197077.0913544193
215,06,55254,02411357,0655254,Palm Springs,Palm Springs city,palm springs,215523.90575899996,558190.4075151137
216,06,56784,02411407,0656784,Petaluma,Petaluma city,petaluma,278041.17141148157,698285.9944289717
217,06,70098,02411827,0670098,Santa Rosa,Santa Rosa city,santa rosa,198238.29398899095,606252.2396444579
218,06,40256,02411578,0640256,La Palma,La Palma city,la palma,440121.8099014514,751993.5961485745
219,06,43224,02410875,0643224,Los Alamitos,Los Alamitos city,los alamitos,604585.0111881738,901046.4195426129
220,06,48256,02411123,0648256,Mission Viejo,Mission Viejo city,mission viejo,472444.27634730237,776159.5489945703
221,06,59587,02411517,0659587,Rancho Santa Margarita,Rancho Santa Margarita city,rancho santa margarita,489220.36896878056,768900.8440691604
222,06,65084,02411781,0665084,San Clemente,San Clemente city,san clemente,640750.7415341609,934291.6846784601
223,06,70686,02411851,0670686,Seal Beach,Seal Beach city,seal beach,908127.8633221788,1154446.7964950013
224,06,82744,02412158,0682744,Villa Park,Villa Park city,villa park,531826.6657546868,818536.0919645798
225,06,00947,02409683,0600947,Aliso Viejo,Aliso Viejo city,aliso viejo,585136.9229044861,861736.0465114446
226,06,36000,02410811,0636000,Huntington Beach,Huntington Beach city,huntington beach,735017.4551454262,997003.6880444646
227,06,80854,02412117,0680854,Tustin,Tustin city,tustin,555203.8561146627,832577.7296313603
228,06,08786,02409932,0608786,Buena Park,Buena Park city,buena park,373259.6878431979,679736.8150794943
229,06,17946,02410293,0617946,Dana Point,Dana Point city,dana point,934746.684201082,1223183.1629274276
230,06,25380,02410537,0625380,Fountain Valley,Fountain Valley city,fountain valley,528424.22372581,823946.1647158857
231,06,39178,02411595,0639178,Laguna Beach,Laguna Beach city,laguna beach,1811947.6876269013,2046535.4455622053
232,06,39220,02411596,0639220,Laguna Hills,Laguna Hills city,laguna hills,549452.2974911971,843333.2338398286
233,06,39259,02411598,0639259,Laguna Woods,Laguna Woods city,laguna woods,542385.9146037797,837734.3264962203
234,06,39496,02411602,0639496,Lake Forest,Lake Forest city,lake forest,492604.05257026484,776109.9566325967
235,06,31960,02410696,0631960,Hanford,Hanford city,hanford,54286.16822644948,234032.80062255388
236,06,40704,02411633,0640704,Lathrop,Lathrop city,lathrop,119145.95848874627,364165.39317254256
237,06,42202,02410854,0642202,Lodi,Lodi city,lodi,123180.94461566176,358955.80464419903
238,06,45484,02411024,0645484,Manteca,Manteca city,manteca,108974.52051776157,345249.93076270516
239,06,80238,02412090,0680238,Tracy,Tracy city,tracy,147330.60672592095,410080.20948586887
240,06,37692,02702867,0637692,Jurupa Valley,Jurupa Valley city,jurupa valley,118941.54107578634,364996.50882316375
241,06,77364,02412017,0677364,Susanville,Susanville city,susanville,20035.658376832387,190800.54434793617
242,06,02000,02409704,0602000,Anaheim,Anaheim city,anaheim,406091.511854501,702794.9352261797
243,06,16532,02410239,0616532,Costa Mesa,Costa Mesa city,costa mesa,580633.4383007785,913167.63012024
244,06,17750,02410282,0617750,Cypress,Cypress city,cypress,490999.82757810486,776433.1206629636
245,06,28000,02410556,0628000,Fullerton,Fullerton city,fullerton,463108.6014310572,740731.9739575152
246,06,29000,02410568,0629000,Garden Grove,Garden Grove city,garden grove,381283.53808743926,695010.2761743369
247,06,39248,02411597,0639248,Laguna Niguel,Laguna Niguel city,laguna niguel,672955.3374789329,946308.5439828438
248,06,53980,02411325,0653980,Orange,Orange city,orange,452517.71222976287,757805.6584830116
249,06,57526,02411432,0657526,Placentia,Placentia city,placentia,424334.95576437196,705949.0057484705
250,06,68028,02411793,0668028,San Juan Capistrano,San Juan Capistrano city,san juan capistrano,546279.3461921145,844253.3662165239
251,06,69000,02411814,0669000,Santa Ana,Santa Ana city,santa ana,394225.47868979146,703431.436514271
252,06,84550,02412236,0684550,Westminster,Westminster city,westminster,435279.27854511066,745077.0197136125
253,06,86832,02412321,0686832,Yorba Linda,Yorba Linda city,yorba linda,473482.30371555156,758407.3895883177
254,06,02364,02412372,0602364,Apple Valley,Apple Valley town,apple valley,36209.048250421736,217025.48885323637
255,06,65000,02411777,0665000,San Bernardino,San Bernardino city,san bernardino,78116.86389554277,306600.13698176545
256,06,33434,02410751,0633434,Hesperia,Hesperia city,hesperia,34086.717626999736,218554.12866111717
257,06,59920,02411531,0659920,Redding,Redding city,redding,56552.92659966247,288764.10533106735
258,06,71225,02411877,0671225,Shasta Lake,Shasta Lake city,shasta lake,40188.34630313231,259478.90507189446
259,06,82590,02412156,0682590,Victorville,Victorville city,victorville,30454.803039504222,208405.5090573176
260,06,13214,02409454,0613214,Chino Hills,Chino Hills city,chino hills,353754.7010752156,612171.9706933309
261,06,33588,02410759,0633588,Highland,Highland city,highland,82522.88813047826,329964.50912022294
262,06,13210,02409453,0613210,Chino,Chino city,chino,205903.83411198578,472007.1393336283
263,06,03526,02409774,0603526,Bakersfield,Bakersfield city,bakersfield,57527.91361167019,259588.69459658436
264,06,07218,02409872,0607218,Blythe,Blythe city,blythe,27194.796034202478,194678.84765259025
265,06,36448,02410101,0636448,Indio,Indio city,indio,79872.944354921,313280.47854343225
266,06,56700,02411403,0656700,Perris,Perris city,perris,58694.93882807505,274573.11333417974
267,06,02924,02409738,0602924,Arvin,Arvin city,arvin,33310.210968623156,210878.6018748115
268,06,60704,02410944,0660704,Ridgecrest,Ridgecrest city,ridgecrest,28936.308355969068,211447.4437070549
269,06,78092,02412041,0678092,Tehachapi,Tehachapi city,tehachapi,30884.908058580808,258386.15150484254
270,06,60102,02410919,0660102,Redwood City,Redwood City city,redwood city,1059655.1989184446,1551736.8006643665
271,06,68364,02411804,0668364,San Rafael,San Rafael city,san rafael,504885.7220187092,1029883.4120536221
272,06,18100,02410296,0618100,Davis,Davis city,davis,355838.1295060502,670654.921501831
273,06,84816,02412228,0684816,West Sacramento,West Sacramento city,west sacramento,110678.75255519971,368506.46988924884
274,06,86034,02412288,0686034,Winters,Winters city,winters,131800.0,417000.0
275,06,86328,02412300,0686328,Woodland,Woodland city,woodland,111581.44394570772,377406.97843028145
276,06,23182,02410474,0623182,Fairfield,Fairfield city,fairfield,111676.14184540755,412158.468550875
277,06,81554,02412139,0681554,Vacaville,Vacaville city,vacaville,114870.60908277733,413905.9855433989
278,06,19584,02410347,0619584,Dorris,Dorris city,dorris,,
279,06,49852,02411181,0649852,Mount Shasta,Mount Shasta city,mount shasta,39500.0,269300.0
280,06,39710,02411609,0639710,Lakeport,Lakeport city,lakeport,,
281,06,36294,02410098,0636294,Imperial Beach,Imperial Beach city,imperial beach,276380.18066263053,643427.5038667509
282,06,18394,02410317,0618394,Delano,Delano city,delano,47178.93523237737,260386.6259864834
283,06,44826,02411062,0644826,McFarland,McFarland city,mcfarland,38230.78759039045,242542.00477499588
284,06,53000,02411292,0653000,Oakland,Oakland city,oakland,381658.1504148068,826810.457420072
285,06,11530,02409399,0611530,Carson,Carson city,carson,321313.56474345736,579703.8733628367
286,06,41124,02410818,0641124,Lemon Grove,Lemon Grove city,lemon grove,171743.594533584,478694.82104161894
287,06,13392,02409461,0613392,Chula Vista,Chula Vista city,chula vista,205719.3744294292,515445.0566329474
